sido,school_level,year,school_count,valid_coordinate_school_count,total_student_count,mean_student_count,median_student_count,small_school_count,decline_pressure_school_count,isolated_small_school_count,education_gap_risk_school_count,mean_isolation_score,total_delta_from_2025,pct_change_from_2025
세종,고등학교,2025,6,6,3180.0,530.0,618.0,0,,,,0.5650010927649359,0.0,0.0
세종,고등학교,2026,6,6,3268.4394988955178,544.7399164825863,609.8661640789536,0,,,,0.5650010927649359,88.43949889551777,0.027811163174691123
세종,고등학교,2027,6,6,3227.8204065269115,537.9700677544853,592.9141935265061,0,,,,0.5650010927649359,47.82040652691148,0.015037863687708014
세종,고등학교,2028,6,6,3227.157297301468,537.8595495502447,594.1298850083948,0,,,,0.5650010927649359,47.157297301468134,0.014829338774046583
세종,고등학교,2029,6,6,3249.083886375244,541.5139810625407,597.9652681012802,0,,,,0.5650010927649359,69.08388637524422,0.021724492570831515
세종,고등학교,2030,6,6,3234.554656875173,539.0924428125288,594.9430889470077,0,2.0,0.0,0.0,0.5650010927649359,54.554656875172896,0.017155552476469466
세종,중학교,2025,12,12,4255.0,354.5833333333333,396.0,1,,,,1.2162674250165397,0.0,0.0
세종,중학교,2026,12,12,4342.656582558576,361.88804854654796,429.00912222632644,1,,,,1.2162674250165397,87.65658255857579,0.02060084196441264
세종,중학교,2027,12,12,4391.0858399068875,365.9238199922406,424.5279189603994,1,,,,1.2162674250165397,136.0858399068875,0.03198257107094888
세종,중학교,2028,12,12,4326.434870805444,360.536239233787,428.27537370538937,1,,,,1.2162674250165397,71.434870805444,0.01678845377331234
세종,중학교,2029,12,12,4308.439645945216,359.0366371621014,425.7931026896282,1,,,,1.2162674250165397,53.4396459452164,0.012559258741531468
세종,중학교,2030,12,12,4344.97445096407,362.0812042470058,427.14926088328434,1,2.0,1.0,1.0,1.2162674250165397,89.97445096406955,0.021145581895198485
세종,초등학교,2025,29,29,9987.0,344.37931034482756,175.0,5,,,,0.5318071610909705,0.0,0.0
세종,초등학교,2026,29,29,9747.008794552847,336.1037515363051,164.97594116859227,6,,,,0.5318071610909705,-239.99120544715333,-0.024030360012731886
세종,초등학교,2027,29,29,9372.477402291941,323.1888759411014,158.81875021935005,8,,,,0.5318071610909705,-614.522597708059,-0.061532251698013324
세종,초등학교,2028,29,29,9005.004272147151,310.51738869472933,153.12929151999273,8,,,,0.5318071610909705,-981.9957278528491,-0.09832739840320907
세종,초등학교,2029,29,29,8518.72066562377,293.74898846978516,149.04849053965006,10,,,,0.5318071610909705,-1468.2793343762296,-0.14701905821330025
세종,초등학교,2030,29,29,7991.059083114569,275.5537614867093,137.4567346401162,10,23.0,3.0,3.0,0.5318071610909705,-1995.9409168854309,-0.19985390176083218
울산,고등학교,2025,44,44,25353.0,576.2045454545455,556.5,0,,,,0.20638927902026055,0.0,0.0
울산,고등학교,2026,44,44,24616.08737609994,559.4565312749986,535.6894367423729,0,,,,0.20638927902026055,-736.9126239000616,-0.02906609174062484
울산,고등학교,2027,44,44,23935.04081776839,543.978200403827,522.3317254067496,0,,,,0.20638927902026055,-1417.9591822316106,-0.055928654685110664
울산,고등학교,2028,44,44,23764.8431452951,540.1100714839796,518.211099188752,0,,,,0.20638927902026055,-1588.1568547048992,-0.06264177236243834
울산,고등학교,2029,44,44,23759.041959295937,539.978226347635,521.9044823561851,0,,,,0.20638927902026055,-1593.958040704063,-0.06287058891271499
울산,고등학교,2030,44,44,23619.163227331293,536.7991642575294,517.4414612841898,0,24.0,0.0,0.0,0.20638927902026055,-1733.8367726687065,-0.0683878346810518
울산,중학교,2025,54,54,29129.0,539.425925925926,561.5,1,,,,0.6426151370823397,0.0,0.0
울산,중학교,2026,54,54,29238.5235028831,541.4541389422797,574.0502010277813,1,,,,0.6426151370823397,109.52350288310117,0.0037599472307014033
울산,중학교,2027,54,54,29057.59068660809,538.1035312334832,570.3350446330592,1,,,,0.6426151370823397,-71.40931339190865,-0.0024514852343681093
울산,중학교,2028,54,54,28470.018913070802,527.2225724642741,560.6470597956836,1,,,,0.6426151370823397,-658.9810869291978,-0.02262285306495924
울산,중학교,2029,54,54,28272.499801365222,523.564811136393,559.7519867805743,1,,,,0.6426151370823397,-856.5001986347779,-0.029403693866414154
울산,중학교,2030,54,54,28420.411957664717,526.3039251419392,565.5774674326383,1,15.0,1.0,1.0,0.6426151370823397,-708.5880423352828,-0.02432586227935332
