sido,sgg,year,school_count,valid_coordinate_school_count,total_student_count,mean_student_count,median_student_count,small_school_count,decline_pressure_school_count,isolated_small_school_count,education_gap_risk_school_count,mean_isolation_score,total_delta_from_2025,pct_change_from_2025
전북,정읍시,2030,64,64,7253.338311250347,113.33341111328667,44.02731820562261,36,42.0,11.0,21.0,1.163352904522181,-1533.661688749653,-0.17453757696024275
전북,진안군,2025,28,28,1507.0,53.82142857142857,25.0,20,,,,4.146791177917438,0.0,0.0
전북,진안군,2026,28,28,1436.2005035107254,51.29287512538305,22.143086696319692,20,,,,4.146791177917438,-70.79949648927459,-0.04698042235519216
전북,진안군,2027,28,28,1336.7541610174867,47.74122003633881,19.238735695232783,20,,,,4.146791177917438,-170.2458389825133,-0.11297003250332668
전북,진안군,2028,28,28,1292.7888324781147,46.17102973136124,18.74628471813473,20,,,,4.146791177917438,-214.21116752188527,-0.14214410585393847
전북,진안군,2029,28,28,1240.6420401898235,44.308644292493696,17.15805380762318,20,,,,4.146791177917438,-266.35795981017645,-0.1767471531587103
전북,진안군,2030,28,28,1184.282377819883,42.295799207852966,14.823900865959905,20,19.0,20.0,20.0,4.146791177917438,-322.7176221801169,-0.21414573469151751
제주,서귀포시,2025,67,67,17162.0,256.14925373134326,189.0,18,,,,1.84627534964716,0.0,0.0
제주,서귀포시,2026,67,67,16772.998463865086,250.34326065470276,179.3962005762121,18,,,,1.84627534964716,-389.0015361349142,-0.022666445410494944
제주,서귀포시,2027,67,67,16332.172005921491,243.76376128241031,179.4505413616194,18,,,,1.84627534964716,-829.8279940785087,-0.04835263920746467
제주,서귀포시,2028,67,67,15954.597199976282,238.12831641755645,175.10545803589912,18,,,,1.84627534964716,-1207.4028000237176,-0.0703532688511664
제주,서귀포시,2029,67,67,15618.350160836479,233.10970389308176,173.49490227358638,19,,,,1.84627534964716,-1543.6498391635214,-0.08994580113993249
제주,서귀포시,2030,67,67,15305.248896668676,228.4365506965474,167.21896332858532,19,18.0,5.0,9.0,1.84627534964716,-1856.751103331324,-0.10818966923035334
제주,제주시,2025,111,111,45649.0,411.2522522522523,293.0,18,,,,1.6343660861026557,0.0,0.0
제주,제주시,2026,111,111,44321.166175033744,399.2897853606644,292.40952488440445,19,,,,1.6343660861026557,-1327.8338249662556,-0.029087906087017362
제주,제주시,2027,111,111,43019.26728498358,387.5609665313836,283.8462524088459,19,,,,1.6343660861026557,-2629.73271501642,-0.05760767410055905
제주,제주시,2028,111,111,41801.39875134954,376.5891779400859,273.89827861332327,19,,,,1.6343660861026557,-3847.6012486504624,-0.08428664918509633
제주,제주시,2029,111,111,40612.625116321535,365.87950555244623,260.525317209709,21,,,,1.6343660861026557,-5036.374883678465,-0.11032826313125074
제주,제주시,2030,111,111,39682.19834170837,357.49728235773307,253.37203602030948,21,53.0,12.0,13.0,1.6343660861026557,-5966.801658291632,-0.13071045714674212
충남,계룡시,2025,8,8,4232.0,529.0,544.5,0,,,,0.48947856264007494,0.0,0.0
충남,계룡시,2026,8,8,4083.6850091353444,510.46062614191806,518.1670325696966,0,,,,0.48947856264007494,-148.31499086465556,-0.03504607534609063
충남,계룡시,2027,8,8,3981.6654165466557,497.70817706833196,505.5662449566755,0,,,,0.48947856264007494,-250.3345834533443,-0.05915278436988287
충남,계룡시,2028,8,8,3896.4683027794913,487.0585378474364,501.2190384413342,0,,,,0.48947856264007494,-335.5316972205087,-0.079284427509572
충남,계룡시,2029,8,8,3823.0457855126256,477.8807231890782,498.3757459084622,0,,,,0.48947856264007494,-408.95421448737443,-0.09663379359342496
충남,계룡시,2030,8,8,3765.7036370693368,470.7129546336671,498.25324322103097,0,6.0,0.0,0.0,0.48947856264007494,-466.29636293066324,-0.1101834505979828
충남,공주시,2025,51,51,8464.0,165.9607843137255,52.0,26,,,,2.138714738584185,0.0,0.0
충남,공주시,2026,51,51,8182.367138864006,160.43857135027463,50.58829152453793,26,,,,2.138714738584185,-281.63286113599406,-0.033274203820415175
충남,공주시,2027,51,51,7834.400619325775,153.61569841815245,50.48981771838,27,,,,2.138714738584185,-629.5993806742254,-0.07438556009856159
충남,공주시,2028,51,51,7562.41554462792,148.28265773780237,47.668789692010016,27,,,,2.138714738584185,-901.5844553720799,-0.10651990257231568
충남,공주시,2029,51,51,7371.9575641780375,144.5481875329027,46.63221430664021,28,,,,2.138714738584185,-1092.0424358219625,-0.12902202691658346
충남,공주시,2030,51,51,7219.626422750096,141.56130240686463,43.0591234926292,28,32.0,14.0,18.0,2.138714738584185,-1244.373577249904,-0.14701956252952553
충남,금산군,2025,28,28,3395.0,121.25,45.0,15,,,,2.390231947615686,0.0,0.0
충남,금산군,2026,28,28,3206.5119655125845,114.5182844825923,44.340219747802934,15,,,,2.390231947615686,-188.48803448741546,-0.055519303236352124
충남,금산군,2027,28,28,3080.189534283972,110.00676908157043,40.423723663741086,15,,,,2.390231947615686,-314.8104657160279,-0.09272767767776964
충남,금산군,2028,28,28,2975.8324212896905,106.27972933177466,38.89555523129749,15,,,,2.390231947615686,-419.1675787103095,-0.12346614984103373
충남,금산군,2029,28,28,2852.025495111365,101.85805339683448,36.334841166253476,15,,,,2.390231947615686,-542.9745048886348,-0.159933580232293
충남,금산군,2030,28,28,2753.444845483804,98.33731591013586,33.80963673038953,15,17.0,11.0,14.0,2.390231947615686,-641.5551545161961,-0.18897059043186926
충남,논산시,2025,54,54,10044.0,186.0,107.5,13,,,,1.3281688909379308,0.0,0.0
충남,논산시,2026,54,54,9733.020584817705,180.2411219410686,104.56389729790888,14,,,,1.3281688909379308,-310.97941518229527,-0.030961709994254807
충남,논산시,2027,54,54,9329.187651894052,172.76273429433428,101.32879584223808,16,,,,1.3281688909379308,-714.8123481059483,-0.07116809519175113
충남,논산시,2028,54,54,9014.122794824538,166.9281999041581,92.9077593189219,16,,,,1.3281688909379308,-1029.8772051754622,-0.10253655965506395
충남,논산시,2029,54,54,8759.732214575446,162.21726323287862,87.50553745779929,21,,,,1.3281688909379308,-1284.267785424554,-0.12786417616731918
충남,논산시,2030,54,54,8515.104047497713,157.68711199069838,87.50649583065737,22,24.0,6.0,8.0,1.3281688909379308,-1528.8959525022874,-0.15221982800699796
충남,당진시,2025,50,50,14385.0,287.7,105.5,15,,,,1.9779453964334115,0.0,0.0
충남,당진시,2026,50,50,13902.154385902002,278.04308771804006,99.55945217708626,16,,,,1.9779453964334115,-482.8456140979979,-0.03356590991296475
충남,당진시,2027,50,50,13562.629410898066,271.2525882179613,94.77887345615052,16,,,,1.9779453964334115,-822.3705891019345,-0.05716861933277264
충남,당진시,2028,50,50,13175.542946983202,263.51085893966405,89.1228375012724,19,,,,1.9779453964334115,-1209.4570530167985,-0.08407765401576632
충남,당진시,2029,50,50,12887.579573423574,257.7515914684715,85.15333023754636,19,,,,1.9779453964334115,-1497.4204265764256,-0.1040959629180692
충남,당진시,2030,50,50,12615.754043512366,252.31508087024733,80.74354448548075,22,28.0,12.0,17.0,1.9779453964334115,-1769.2459564876335,-0.12299241963765266
충남,보령시,2025,47,47,7112.0,151.31914893617022,50.0,29,,,,2.471703446864027,0.0,0.0
충남,보령시,2026,47,47,6786.768129961104,144.39932191406604,47.02941504313036,28,,,,2.471703446864027,-325.231870038896,-0.04573001547228571
충남,보령시,2027,47,47,6415.0098678433615,136.48957165624174,42.83521929347273,29,,,,2.471703446864027,-696.9901321566385,-0.09800198708614152
충남,보령시,2028,47,47,6221.262098726354,132.36727869630542,40.72505064438637,29,,,,2.471703446864027,-890.7379012736455,-0.12524436182137874
충남,보령시,2029,47,47,5973.380228731096,127.09319635598078,36.825600015284415,31,,,,2.471703446864027,-1138.6197712689036,-0.16009839303556012
충남,보령시,2030,47,47,5753.014177178421,122.404556961243,34.81357820416165,31,35.0,16.0,24.0,2.471703446864027,-1358.985822821579,-0.19108349589729737
충남,부여군,2025,37,37,3691.0,99.75675675675676,37.0,26,,,,2.3252378276040138,0.0,0.0
